Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,94.5,95.13,92.45,93.19,91.75,8496500
2018-12-10,93.56,94.25,92.34,93.94,92.49,7276900
2018-12-11,94.25,94.49,93.25,93.85,92.4,6452500
2018-12-12,94.3,94.3,93.06,93.11,91.67,9639200
2018-12-13,93.25,93.68,92.43,92.96,91.52,8042300
2018-12-14,92.05,92.56,91.57,91.85,90.43,11493600
2018-12-17,91.22,92.01,90.16,90.77,89.37,9001800
2018-12-18,90.8,91.26,90.28,91.08,89.67,9606700
2018-12-19,91.29,93.0,90.25,90.55,89.15,12231500
2018-12-20,90.11,90.11,86.14,87.28,85.93,16373800
2018-12-21,86.87,89.47,86.8,87.13,85.78,14921500
2018-12-24,86.54,87.57,85.78,85.82,84.49,6110300
2018-12-26,86.42,90.42,86.3,90.41,89.01,10028300
2018-12-27,89.75,91.61,88.44,91.59,90.17,9881500
2018-12-28,92.07,93.47,91.65,92.13,90.71,9874000
2018-12-31,92.67,93.39,92.25,93.15,91.71,7005800
2019-01-02,91.64,93.65,91.64,93.34,91.9,8152700
2019-01-03,93.21,94.71,92.7,92.86,91.42,8277300
2019-01-04,93.21,93.66,92.69,93.44,92.0,8029100
2019-01-07,93.62,95.17,93.18,94.54,93.08,7789700
2019-01-08,95.06,95.76,93.91,95.2,93.73,7200900
2019-01-09,95.71,96.14,94.77,94.89,93.42,6272300
2019-01-10,93.88,94.98,93.12,94.96,93.49,9396300
2019-01-11,94.99,95.29,94.55,94.84,93.37,5394600
2019-01-14,94.48,95.45,94.28,94.95,93.48,7085100
2019-01-15,95.47,96.6,95.38,96.25,94.76,7058200
2019-01-16,95.93,96.86,95.83,96.35,94.86,5410000
2019-01-17,96.32,97.21,96.16,96.74,95.24,5614500
2019-01-18,96.95,98.2,96.85,97.73,96.22,6120600
2019-01-22,97.15,98.43,96.78,97.49,95.98,8063200
2019-01-23,98.87,99.35,97.53,98.71,97.18,8345800
2019-01-24,98.2,98.46,96.43,98.36,96.84,7609700
2019-01-25,98.75,98.91,96.75,96.94,95.44,7218200
2019-01-28,96.53,97.07,96.08,97.06,95.56,5875800
2019-01-29,96.77,97.16,96.51,96.71,95.22,5253400
2019-01-30,96.68,96.8,94.26,94.8,93.33,11849300
2019-01-31,94.63,96.87,94.63,95.83,94.35,14723000
2019-02-01,95.92,96.0,93.11,93.86,92.41,12591900
2019-02-04,93.86,94.77,93.35,94.77,93.31,7268600
2019-02-05,95.25,95.94,95.02,95.6,94.12,6099900
2019-02-06,95.43,96.01,95.22,95.64,94.16,4264900
2019-02-07,95.11,96.82,95.0,96.73,95.24,7010100
2019-02-08,96.34,96.69,95.14,95.58,94.1,6169200
2019-02-11,95.65,96.35,95.64,96.2,94.71,5542800
2019-02-12,96.82,97.17,96.5,96.97,95.47,5881300
2019-02-13,97.3,98.0,97.09,97.94,96.43,5458500
2019-02-14,97.68,99.2,97.02,98.52,97.0,7200800
2019-02-15,98.98,100.0,98.86,99.99,98.44,9481000
2019-02-19,102.38,104.18,102.07,102.2,100.62,20697300
2019-02-20,101.81,102.34,98.65,99.88,98.34,17631800
2019-02-21,99.66,99.92,98.91,99.39,97.85,6413200
2019-02-22,99.82,100.16,99.14,99.55,98.01,8086900
2019-02-25,100.12,100.13,99.05,99.12,97.59,9235000
2019-02-26,99.02,99.06,97.87,98.69,97.16,8488100
2019-02-27,98.12,98.39,97.59,98.11,96.59,7902300
2019-02-28,98.11,99.47,97.77,98.99,97.46,11375900
2019-03-01,99.47,99.56,97.12,97.93,96.42,10352500
2019-03-04,98.12,98.59,97.37,97.85,96.34,7683800
2019-03-05,98.13,99.19,98.09,98.34,96.82,6119300
2019-03-06,98.27,99.0,97.86,98.26,96.74,4696600
2019-03-07,97.71,98.2,97.24,97.45,95.94,6126600
2019-03-08,97.55,98.42,97.0,97.59,96.08,5659000
2019-03-11,98.04,98.58,97.82,98.48,96.96,5345300
2019-03-12,98.53,98.74,98.05,98.37,96.85,5070500
2019-03-13,98.7,99.35,98.39,99.03,97.5,5482300
2019-03-14,98.41,98.43,97.59,98.22,97.22,4925800
2019-03-15,98.28,98.51,97.6,98.42,97.42,14600000
2019-03-18,98.3,99.77,98.26,99.66,98.65,5770100
2019-03-19,99.99,100.49,99.57,99.85,98.84,5414400
2019-03-20,99.2,99.55,98.54,98.64,97.64,6323100
2019-03-21,98.25,99.13,98.1,99.06,98.05,6551000
2019-03-22,98.58,99.53,97.94,98.28,97.28,6708100
2019-03-25,97.8,98.62,97.63,98.17,97.17,5407400
2019-03-26,98.36,98.85,98.03,98.32,97.32,4945900
2019-03-27,98.14,98.86,95.0,97.21,96.22,8471200
2019-03-28,97.59,97.87,96.53,97.13,96.14,8054300
2019-03-29,97.59,97.67,97.04,97.53,96.54,7439900
2019-04-01,97.97,98.36,97.56,97.82,96.83,8505800
2019-04-02,97.76,98.31,96.9,96.94,95.96,6274000
2019-04-03,97.12,97.4,96.79,97.19,96.2,5687500
2019-04-04,97.25,98.28,97.24,98.11,97.11,4026300
2019-04-05,98.25,99.2,98.16,98.83,97.83,4656000
2019-04-08,98.45,99.25,98.26,99.23,98.22,5422400
2019-04-09,98.8,99.23,98.15,98.69,97.69,4367500
2019-04-10,98.51,99.72,98.5,99.6,98.59,4091100
2019-04-11,99.7,100.83,99.47,100.8,99.78,5606900
2019-04-12,101.0,102.02,101.0,101.56,100.53,5162000
2019-04-15,101.3,102.91,101.26,102.43,101.39,5111900
2019-04-16,102.89,103.39,102.54,102.93,101.88,4828400
2019-04-17,103.0,103.4,102.41,103.16,102.11,3729200
2019-04-18,103.11,103.8,102.89,103.18,102.13,3727800
2019-04-22,102.78,103.54,102.17,102.37,101.33,5079400
2019-04-23,102.53,103.29,101.94,103.07,102.02,5050800
2019-04-24,103.14,103.85,103.09,103.53,102.48,4697800
2019-04-25,103.24,104.15,102.83,103.52,102.47,3961100
2019-04-26,100.45,102.34,99.66,101.53,100.5,8107700
2019-04-29,101.88,102.0,100.78,101.56,100.53,6379700
2019-04-30,101.77,102.92,101.45,102.84,101.8,6133600
2019-05-01,102.77,102.81,101.28,101.36,100.33,5337200
2019-05-02,101.43,102.06,100.24,101.15,100.12,5007000
2019-05-03,102.32,102.75,101.8,102.08,101.04,5316900
2019-05-06,100.75,102.55,100.54,102.46,101.42,4613700
2019-05-07,101.8,102.17,100.76,101.3,100.27,4575600
2019-05-08,100.25,101.04,99.86,100.3,99.28,5882000
2019-05-09,99.27,99.94,98.85,99.54,99.05,6240100
2019-05-10,99.76,102.11,99.7,101.91,101.41,8742700
2019-05-13,100.45,101.15,99.01,99.89,99.4,7361500
2019-05-14,100.14,100.87,99.89,100.29,99.8,6353700
2019-05-15,100.2,100.36,99.13,99.88,99.39,6740300
2019-05-16,102.83,103.96,100.84,101.31,100.81,17122000
2019-05-17,100.24,101.95,99.91,100.86,100.37,12371300
2019-05-20,100.39,101.98,100.25,101.52,101.02,7194100
2019-05-21,101.51,101.65,100.4,101.12,100.62,6889100
2019-05-22,101.6,102.43,101.06,102.23,101.73,7340900
2019-05-23,101.82,101.93,100.65,101.86,101.36,6454600
2019-05-24,102.18,102.89,102.08,102.67,102.17,4483200
2019-05-28,102.56,103.57,102.4,102.42,101.92,10271700
2019-05-29,102.11,102.88,101.47,102.12,101.62,6520200
2019-05-30,102.49,103.49,101.91,102.19,101.69,5019600
2019-05-31,101.35,102.02,100.6,101.44,100.94,5927500
2019-06-03,101.63,102.68,101.4,101.96,101.46,6614700
2019-06-04,102.61,102.65,101.44,102.56,102.06,5964900
2019-06-05,102.75,104.78,102.6,104.42,103.91,6902900
2019-06-06,104.49,105.66,104.2,105.11,104.6,8063700
2019-06-07,105.23,106.36,105.05,106.06,105.54,6809400
2019-06-10,106.48,107.78,106.37,107.52,106.99,6325700
2019-06-11,108.0,108.97,107.75,107.94,107.41,6747300
2019-06-12,107.92,108.91,107.92,108.82,108.29,4635100
2019-06-13,109.0,109.58,108.17,108.65,108.12,5485000
2019-06-14,108.78,109.59,108.46,109.07,108.54,4525900
2019-06-17,109.12,109.55,108.26,109.16,108.63,4147000
2019-06-18,109.8,109.96,108.91,109.65,109.11,4911200
2019-06-19,109.8,109.84,108.87,109.62,109.08,3924600
2019-06-20,109.82,110.49,109.28,110.32,109.78,5001500
2019-06-21,110.34,112.19,110.26,111.13,110.59,13178600
